transaction_id,transaction_date,account_type,account_name,category,merchant,description,amount,currency,payment_method,notes
TXN0038,2025-02-08,Expense,Restaurants,Food & Dining,Burger Harbor,Weekend dinner,-21.50,EUR,Debit Card,Synthetic sample row
TXN0039,2025-02-09,Expense,Fuel,Transport,Shell,Fuel purchase,-49.00,EUR,Credit Card,Synthetic sample row
TXN0040,2025-02-10,Expense,Mobile Phone,Utilities,Telco Finland,Mobile plan,-24.90,EUR,Direct Debit,Synthetic sample row
TXN0041,2025-02-11,Income,Freelance,Income,Client Project,Freelance invoice payment,520.00,EUR,Bank Transfer,Synthetic sample row
TXN0042,2025-02-12,Expense,Insurance,Insurance,Nordic Insurance,Home insurance premium,-22.50,EUR,Direct Debit,Synthetic sample row
TXN0043,2025-02-13,Expense,Gym,Health,FitClub,Monthly gym membership,-39.99,EUR,Credit Card,Synthetic sample row
TXN0044,2025-02-14,Expense,Household Supplies,Household,HomeStore,Laundry detergent and paper goods,-24.75,EUR,Debit Card,Synthetic sample row
TXN0045,2025-02-15,Expense,Groceries,Food & Dining,FreshMart,Mid month grocery refill,-70.35,EUR,Debit Card,Synthetic sample row
TXN0046,2025-02-16,Expense,Internet,Utilities,FiberNet,Home internet bill,-29.90,EUR,Direct Debit,Synthetic sample row
TXN0047,2025-02-17,Expense,Books & Learning,Education,DataCamp,Online learning subscription,-14.99,EUR,Credit Card,Synthetic sample row
TXN0048,2025-02-18,Expense,Clothing,Shopping,NordStyle,Basic T shirt,-12.95,EUR,Debit Card,Synthetic sample row
TXN0049,2025-02-19,Income,Interest,Income,Example Bank,Monthly savings interest,4.95,EUR,Bank Transfer,Synthetic sample row
TXN0050,2025-02-20,Expense,Restaurants,Food & Dining,Soup Factory,Lunch outing,-13.20,EUR,Debit Card,Synthetic sample row
TXN0051,2025-02-21,Expense,Software,Technology,TaskFlow,Project app subscription,-10.00,EUR,Credit Card,Synthetic sample row
TXN0052,2025-02-22,Expense,Healthcare,Health,Vision Clinic,Eye exam,-59.00,EUR,Debit Card,Synthetic sample row
TXN0053,2025-02-23,Expense,Travel,Transport,VR Rail,Train ticket,-22.40,EUR,Debit Card,Synthetic sample row
TXN0054,2025-02-24,Expense,Savings Transfer,Savings,Example Bank,Transfer to savings account,-300.00,EUR,Bank Transfer,Synthetic sample row
TXN0055,2025-02-25,Expense,Groceries,Food & Dining,FreshMart,End of month groceries,-76.45,EUR,Debit Card,Synthetic sample row
TXN0056,2025-02-26,Income,Reimbursement,Income,Employer Travel,Travel reimbursement,35.00,EUR,Bank Transfer,Synthetic sample row
TXN0057,2025-02-27,Expense,Electricity,Housing,City Energy,Additional winter usage charge,-11.80,EUR,Direct Debit,Synthetic sample row
TXN0058,2025-02-28,Expense,Restaurants,Food & Dining,Pizza Corner,Friday takeaway,-18.90,EUR,Debit Card,Synthetic sample row
